caller,receiver,timestamp,duration_seconds,cell_tower
+91-98765-11111,+91-98765-22222,2026-07-21 11:42:05,1185,Gurgaon
+91-98765-11111,+91-98765-11112,2026-07-24 08:34:59,304,Jaipur
+91-98765-44444,+91-98765-22222,2026-06-01 13:23:17,760,Delhi
+91-98765-44444,+91-98765-33333,2026-07-07 21:53:44,440,Delhi
+91-98765-44444,+91-98765-11111,2026-08-24 09:53:36,566,Delhi
+91-98765-11111,+91-98765-33333,2026-06-14 11:58:52,1171,Noida
+91-98765-44444,+91-98765-33333,2026-06-23 04:49:19,638,Gurgaon
+91-98765-22222,+91-98765-11111,2026-07-30 13:40:04,130,Gurgaon
+91-98765-22222,+91-98765-33334,2026-06-04 12:30:07,1174,Gurgaon
+91-98765-44444,+91-98765-33333,2026-07-13 15:43:29,444,Gurgaon
+91-98765-33334,+91-98765-11111,2026-08-12 17:39:08,1036,Noida
+91-98765-44444,+91-98765-11111,2026-07-29 15:00:38,1019,Delhi
+91-98765-44444,+91-98765-11112,2026-06-06 03:13:26,673,Delhi
+91-98765-44444,+91-98765-33334,2026-07-23 07:08:05,430,Noida
+91-98765-44444,+91-98765-11111,2026-06-01 11:51:23,298,Pune
+91-98765-44444,+91-98765-22222,2026-07-01 19:16:55,222,Gurgaon
+91-98765-44444,+91-98765-33334,2026-06-07 05:33:54,600,Mumbai
+91-98765-44444,+91-98765-33334,2026-06-07 13:26:40,1061,Noida
+91-98765-44444,+91-98765-11112,2026-08-09 17:25:30,334,Jaipur
+91-98765-44444,+91-98765-11111,2026-06-21 11:33:02,786,Mumbai
+91-98765-11112,+91-98765-22222,2026-08-16 07:05:56,199,Mumbai
+91-98765-11112,+91-98765-11111,2026-06-18 15:31:48,785,Delhi
+91-98765-33333,+91-98765-22222,2026-06-07 05:30:39,1164,Noida
+91-98765-44444,+91-98765-33333,2026-08-02 00:47:54,419,Gurgaon
+91-98765-44444,+91-98765-33333,2026-08-20 18:45:24,742,Pune
+91-98765-44444,+91-98765-22222,2026-07-19 10:59:34,888,Mumbai
+91-98765-11111,+91-98765-22222,2026-06-29 02:57:37,1095,Pune
+91-98765-33333,+91-98765-44444,2026-06-25 19:54:41,959,Mumbai
+91-98765-44444,+91-98765-33334,2026-08-18 19:03:57,144,Gurgaon
+91-98765-44444,+91-98765-33334,2026-08-04 07:40:03,337,Jaipur
+91-98765-22222,+91-98765-33334,2026-07-27 23:47:42,565,Jaipur
+91-98765-33333,+91-98765-11112,2026-06-12 11:25:52,16,Gurgaon
+91-98765-44444,+91-98765-11112,2026-07-14 16:02:40,439,Noida
+91-98765-44444,+91-98765-11112,2026-06-08 21:49:38,981,Gurgaon
+91-98765-44444,+91-98765-33333,2026-07-03 22:59:53,671,Delhi
+91-98765-44444,+91-98765-11111,2026-06-13 11:50:35,979,Pune
+91-98765-22222,+91-98765-33333,2026-07-21 20:12:16,986,Noida
+91-98765-44444,+91-98765-11111,2026-07-21 03:01:42,918,Jaipur
+91-98765-33333,+91-98765-44444,2026-07-09 00:39:43,1156,Mumbai
+91-98765-11111,+91-98765-11112,2026-07-22 01:08:37,200,Pune
+91-98765-44444,+91-98765-33334,2026-07-24 06:40:00,422,Mumbai
+91-98765-44444,+91-98765-33334,2026-08-10 07:20:17,678,Jaipur
+91-98765-33334,+91-98765-33333,2026-08-11 13:43:50,498,Gurgaon
+91-98765-44444,+91-98765-11111,2026-06-14 02:21:27,666,Gurgaon
+91-98765-33333,+91-98765-11111,2026-06-19 16:47:31,402,Gurgaon
+91-98765-44444,+91-98765-11112,2026-07-04 23:32:02,896,Gurgaon
+91-98765-44444,+91-98765-33333,2026-06-15 19:29:39,537,Delhi
+91-98765-44444,+91-98765-11112,2026-08-17 21:01:23,1011,Jaipur
+91-98765-44444,+91-98765-11111,2026-07-31 10:32:48,82,Gurgaon
+91-98765-33333,+91-98765-33334,2026-06-17 11:07:44,509,Jaipur
+91-98765-11111,+91-98765-33334,2026-07-16 22:27:46,236,Pune
+91-98765-44444,+91-98765-22222,2026-08-08 16:02:16,314,Noida
+91-98765-44444,+91-98765-22222,2026-07-07 07:07:37,998,Delhi
+91-98765-44444,+91-98765-11111,2026-07-10 11:21:28,664,Delhi
+91-98765-44444,+91-98765-22222,2026-06-25 07:00:03,1111,Mumbai
+91-98765-44444,+91-98765-11111,2026-08-16 11:11:00,400,Gurgaon
