sender_account,sender_name,receiver_account,receiver_name,amount,timestamp,purpose,bank
2000000000003,Suresh Agarwal,2000000000001,Suresh Agarwal,4327657,2026-08-22 04:11:26,consultation fee,ICICI
3000000000001,Mohammed Irfan,2000000000002,Suresh Agarwal,4100682,2026-07-26 14:06:38,investment,HDFC
2000000000001,Suresh Agarwal,2000000000002,Suresh Agarwal,369568,2026-07-08 02:25:42,gift,Axis Bank
2000000000002,Suresh Agarwal,2000000000001,Suresh Agarwal,4709138,2026-07-26 07:21:02,property,Axis Bank
2000000000001,Suresh Agarwal,2000000000003,Suresh Agarwal,1720313,2026-08-21 11:00:32,loan repayment,Axis Bank
2000000000002,Suresh Agarwal,1000000000001,Vikram Sharma,1300890,2026-06-18 08:59:04,consultation fee,HDFC
4000000000001,Deepak Chauhan,2000000000001,Suresh Agarwal,982183,2026-06-09 19:16:05,property,SBI
2000000000001,Suresh Agarwal,2000000000002,Suresh Agarwal,326931,2026-06-17 05:14:13,property,ICICI
2000000000002,Suresh Agarwal,4000000000001,Deepak Chauhan,3042318,2026-05-28 19:54:40,loan repayment,SBI
1000000000002,Vikram Sharma,2000000000001,Suresh Agarwal,3380131,2026-08-07 06:08:58,property,PNB
2000000000001,Suresh Agarwal,2000000000003,Suresh Agarwal,1162455,2026-08-02 00:15:03,gift,SBI
2000000000002,Suresh Agarwal,2000000000003,Suresh Agarwal,1102475,2026-06-27 01:26:58,investment,PNB
3000000000001,Mohammed Irfan,1000000000002,Vikram Sharma,1612909,2026-06-18 08:48:03,property,SBI
1000000000002,Vikram Sharma,2000000000003,Suresh Agarwal,4505487,2026-08-20 01:14:25,consultation fee,HDFC
3000000000001,Mohammed Irfan,2000000000003,Suresh Agarwal,332104,2026-07-13 09:38:02,gift,Axis Bank
2000000000003,Suresh Agarwal,3000000000001,Mohammed Irfan,3069570,2026-07-18 23:01:00,loan repayment,Axis Bank
2000000000002,Suresh Agarwal,4000000000001,Deepak Chauhan,1280303,2026-08-23 12:22:28,property,ICICI
2000000000001,Suresh Agarwal,3000000000001,Mohammed Irfan,2128165,2026-07-21 07:41:57,business payment,Axis Bank
3000000000001,Mohammed Irfan,2000000000003,Suresh Agarwal,2780795,2026-08-03 13:02:38,business payment,ICICI
1000000000001,Vikram Sharma,2000000000001,Suresh Agarwal,2143217,2026-07-28 13:59:08,business payment,ICICI
1000000000002,Vikram Sharma,4000000000002,Deepak Chauhan,1815838,2026-07-21 19:26:14,investment,ICICI
1000000000001,Vikram Sharma,2000000000003,Suresh Agarwal,2636152,2026-06-25 10:16:03,gift,ICICI
1000000000001,Vikram Sharma,2000000000002,Suresh Agarwal,580003,2026-07-05 08:17:17,business payment,Axis Bank
3000000000001,Mohammed Irfan,2000000000003,Suresh Agarwal,4042561,2026-08-17 16:40:41,investment,SBI
2000000000002,Suresh Agarwal,1000000000002,Vikram Sharma,101033,2026-08-04 09:19:22,consultation fee,SBI
3000000000001,Mohammed Irfan,2000000000003,Suresh Agarwal,2412187,2026-06-08 11:12:44,gift,ICICI
2000000000003,Suresh Agarwal,2000000000001,Suresh Agarwal,245647,2026-06-20 12:07:19,investment,HDFC
2000000000001,Suresh Agarwal,4000000000001,Deepak Chauhan,1155567,2026-07-22 01:09:40,property,Axis Bank
2000000000003,Suresh Agarwal,2000000000001,Suresh Agarwal,2376926,2026-08-19 00:45:17,gift,SBI
4000000000002,Deepak Chauhan,2000000000003,Suresh Agarwal,3960796,2026-06-13 00:40:24,loan repayment,SBI
3000000000001,Mohammed Irfan,4000000000001,Deepak Chauhan,262484,2026-06-27 13:57:19,loan repayment,PNB
1000000000002,Vikram Sharma,3000000000001,Mohammed Irfan,1642069,2026-08-03 06:25:53,gift,PNB
2000000000002,Suresh Agarwal,3000000000001,Mohammed Irfan,2577523,2026-06-11 18:56:44,investment,SBI
4000000000002,Deepak Chauhan,1000000000002,Vikram Sharma,3206676,2026-06-16 17:18:15,investment,PNB
2000000000003,Suresh Agarwal,4000000000001,Deepak Chauhan,2115729,2026-07-06 00:49:53,loan repayment,Axis Bank
3000000000001,Mohammed Irfan,2000000000002,Suresh Agarwal,4598280,2026-06-12 01:20:08,gift,ICICI
1000000000002,Vikram Sharma,4000000000001,Deepak Chauhan,1146947,2026-07-04 13:58:16,gift,ICICI
4000000000002,Deepak Chauhan,2000000000002,Suresh Agarwal,3494902,2026-08-03 06:15:35,business payment,Axis Bank
1000000000001,Vikram Sharma,2000000000001,Suresh Agarwal,2726249,2026-07-26 00:12:15,consultation fee,PNB
2000000000003,Suresh Agarwal,2000000000002,Suresh Agarwal,2502751,2026-08-24 11:17:09,investment,Axis Bank
2000000000003,Suresh Agarwal,2000000000001,Suresh Agarwal,809137,2026-07-02 10:04:04,gift,PNB
4000000000001,Deepak Chauhan,2000000000002,Suresh Agarwal,2942535,2026-07-14 19:28:04,property,HDFC
3000000000001,Mohammed Irfan,2000000000003,Suresh Agarwal,4211770,2026-07-12 03:41:54,property,Axis Bank
2000000000001,Suresh Agarwal,2000000000002,Suresh Agarwal,644053,2026-08-26 03:14:50,business payment,HDFC
3000000000001,Mohammed Irfan,2000000000001,Suresh Agarwal,3054665,2026-07-07 15:22:21,gift,PNB
1000000000002,Vikram Sharma,2000000000002,Suresh Agarwal,2296144,2026-06-19 02:04:15,business payment,PNB
3000000000001,Mohammed Irfan,2000000000001,Suresh Agarwal,4421966,2026-08-06 17:54:01,business payment,HDFC
2000000000003,Suresh Agarwal,1000000000002,Vikram Sharma,4771086,2026-08-21 13:17:18,business payment,PNB
2000000000003,Suresh Agarwal,2000000000003,Suresh Agarwal,2504424,2026-07-02 18:45:40,business payment,ICICI
4000000000002,Deepak Chauhan,2000000000003,Suresh Agarwal,215095,2026-07-13 08:40:57,gift,SBI
2000000000002,Suresh Agarwal,3000000000001,Mohammed Irfan,2279732,2026-08-06 18:11:46,consultation fee,HDFC
3000000000001,Mohammed Irfan,2000000000001,Suresh Agarwal,4112747,2026-08-22 03:30:28,consultation fee,HDFC
1000000000001,Vikram Sharma,2000000000001,Suresh Agarwal,199527,2026-07-23 06:40:23,consultation fee,SBI
1000000000002,Vikram Sharma,2000000000003,Suresh Agarwal,4552161,2026-06-25 20:23:37,gift,SBI
2000000000002,Suresh Agarwal,2000000000001,Suresh Agarwal,3309862,2026-08-24 10:47:32,property,HDFC
3000000000001,Mohammed Irfan,1000000000002,Vikram Sharma,2806097,2026-08-04 19:07:08,business payment,HDFC
2000000000001,Suresh Agarwal,4000000000001,Deepak Chauhan,4242412,2026-06-09 18:01:09,investment,PNB
3000000000001,Mohammed Irfan,1000000000001,Vikram Sharma,1070918,2026-06-15 12:49:01,consultation fee,SBI
2000000000001,Suresh Agarwal,4000000000001,Deepak Chauhan,2980315,2026-07-30 23:43:50,gift,ICICI
3000000000001,Mohammed Irfan,2000000000001,Suresh Agarwal,3751071,2026-06-13 04:13:03,consultation fee,SBI
2000000000003,Suresh Agarwal,2000000000003,Suresh Agarwal,3803761,2026-06-25 22:18:05,consultation fee,HDFC
2000000000002,Suresh Agarwal,2000000000002,Suresh Agarwal,1260391,2026-06-24 06:50:34,business payment,Axis Bank
2000000000003,Suresh Agarwal,4000000000001,Deepak Chauhan,492485,2026-07-24 14:11:58,business payment,HDFC
2000000000002,Suresh Agarwal,2000000000001,Suresh Agarwal,333967,2026-06-25 20:43:02,gift,ICICI
4000000000002,Deepak Chauhan,2000000000003,Suresh Agarwal,172720,2026-07-19 03:50:54,investment,SBI
2000000000003,Suresh Agarwal,2000000000001,Suresh Agarwal,2627999,2026-07-02 14:55:29,consultation fee,PNB
4000000000002,Deepak Chauhan,2000000000003,Suresh Agarwal,3163075,2026-06-11 22:55:17,business payment,Axis Bank
1000000000001,Vikram Sharma,2000000000001,Suresh Agarwal,675539,2026-06-25 09:57:16,business payment,Axis Bank
1000000000002,Vikram Sharma,2000000000003,Suresh Agarwal,2730134,2026-06-03 23:24:16,gift,ICICI
3000000000001,Mohammed Irfan,2000000000003,Suresh Agarwal,1256654,2026-07-17 02:45:18,gift,Axis Bank
3000000000001,Mohammed Irfan,2000000000003,Suresh Agarwal,601930,2026-06-01 07:57:37,gift,HDFC
4000000000001,Deepak Chauhan,2000000000002,Suresh Agarwal,1353409,2026-08-25 19:37:18,gift,PNB
3000000000001,Mohammed Irfan,2000000000003,Suresh Agarwal,4066725,2026-06-05 10:45:17,investment,SBI
1000000000002,Vikram Sharma,2000000000001,Suresh Agarwal,1188206,2026-07-01 07:10:25,loan repayment,HDFC
3000000000001,Mohammed Irfan,2000000000003,Suresh Agarwal,3771330,2026-06-21 11:27:54,business payment,HDFC
3000000000001,Mohammed Irfan,2000000000002,Suresh Agarwal,1895118,2026-06-05 12:00:03,loan repayment,SBI
4000000000001,Deepak Chauhan,2000000000002,Suresh Agarwal,1734689,2026-06-06 01:44:46,business payment,PNB
4000000000001,Deepak Chauhan,1000000000002,Vikram Sharma,1798836,2026-08-12 08:14:13,loan repayment,ICICI
3000000000001,Mohammed Irfan,2000000000003,Suresh Agarwal,4066066,2026-07-02 12:28:35,investment,PNB
2000000000002,Suresh Agarwal,3000000000001,Mohammed Irfan,2129058,2026-06-16 11:25:47,property,HDFC
2000000000002,Suresh Agarwal,2000000000002,Suresh Agarwal,3873948,2026-06-26 21:47:38,business payment,ICICI
1000000000002,Vikram Sharma,2000000000002,Suresh Agarwal,1265703,2026-07-13 05:13:50,gift,ICICI
3000000000001,Mohammed Irfan,1000000000001,Vikram Sharma,452761,2026-08-07 05:41:32,gift,HDFC
2000000000001,Suresh Agarwal,2000000000001,Suresh Agarwal,3268623,2026-08-23 16:20:18,gift,SBI
2000000000003,Suresh Agarwal,2000000000002,Suresh Agarwal,3052356,2026-06-11 19:58:45,investment,Axis Bank
2000000000003,Suresh Agarwal,2000000000003,Suresh Agarwal,399700,2026-08-11 19:18:54,loan repayment,Axis Bank
4000000000002,Deepak Chauhan,1000000000001,Vikram Sharma,2203461,2026-06-16 08:00:59,investment,ICICI
