caller,receiver,timestamp,duration_seconds,cell_tower
+91-98765-43210,+91-91234-56789,2024-03-10T09:15:00Z,120,DEL-CBZ-0042
+91-98765-43210,+91-99887-76655,2024-03-10T09:20:00Z,45,DEL-CBZ-0042
+91-99887-76655,+91-98765-43210,2024-03-10T10:05:00Z,360,DEL-PHG-0112
+91-91234-56789,+91-98765-43210,2024-03-10T11:30:00Z,18,DEL-CCK-0087
+91-98765-43210,+91-91234-56789,2024-03-10T11:32:00Z,450,DEL-CBZ-0042
+91-98765-43210,+91-91234-56789,2024-03-10T11:45:00Z,20,DEL-CBZ-0042
+91-98765-43210,+91-91234-56789,2024-03-10T11:48:00Z,15,DEL-CBZ-0042
+91-99887-76655,+91-88888-77777,2024-03-10T12:00:00Z,900,DEL-PHG-0112
+91-88888-77777,+91-91234-56789,2024-03-10T12:30:00Z,1200,MUM-AND-0091
+91-91234-56789,+91-98765-43210,2024-03-10T13:00:00Z,3600,DEL-CCK-0087
+91-99887-76655,+91-98765-43210,2024-03-11T08:15:00Z,60,DEL-PHG-0115
+91-98765-43210,+91-77777-66666,2024-03-11T09:00:00Z,120,DEL-CBZ-0045
+91-77777-66666,+91-99887-76655,2024-03-11T09:10:00Z,300,UP-NOI-0021
+91-98765-43210,+91-91234-56789,2024-03-11T10:00:00Z,45,DEL-CBZ-0045
+91-91234-56789,+91-88888-77777,2024-03-11T10:15:00Z,600,DEL-CCK-0088
+91-98765-43210,+91-91234-56789,2024-03-11T14:30:00Z,15,DEL-CBZ-0045
+91-98765-43210,+91-91234-56789,2024-03-11T14:35:00Z,30,DEL-CBZ-0045
+91-98765-43210,+91-91234-56789,2024-03-11T14:40:00Z,120,DEL-CBZ-0045
